route,label,declared_status,page_exists,e2e_specs,finding
/crm,Home,AVAILABLE,yes,apps/web/e2e/accessibility.spec.ts;apps/web/e2e/auth-lifecycle.spec.ts;apps/web/e2e/billing-expired-subscription.spec.ts;apps/web/e2e/crm-authorization.spec.ts;apps/web/e2e/crm-public-booking.spec.ts;apps/web/e2e/crm-regression.spec.ts;apps/web/e2e/crm-uiux.spec.ts;apps/web/e2e/opportunity-stage-transition.spec.ts;apps/web/e2e/platform-security.spec.ts;apps/web/e2e/restricted-role-authorization.spec.ts;apps/web/e2e/_ui-audit2.spec.ts,
/crm/leads,Leads,AVAILABLE,yes,apps/web/e2e/accessibility.spec.ts;apps/web/e2e/billing-expired-subscription.spec.ts;apps/web/e2e/crm-authorization.spec.ts;apps/web/e2e/crm-regression.spec.ts;apps/web/e2e/crm-uiux.spec.ts,
/crm/accounts,Accounts,AVAILABLE,yes,apps/web/e2e/accessibility.spec.ts;apps/web/e2e/crm-regression.spec.ts;apps/web/e2e/crm-uiux.spec.ts,
/crm/contacts,Contacts,AVAILABLE,yes,apps/web/e2e/accessibility.spec.ts;apps/web/e2e/crm-regression.spec.ts;apps/web/e2e/crm-uiux.spec.ts,
/crm/opportunities,Opportunities,AVAILABLE,yes,apps/web/e2e/accessibility.spec.ts;apps/web/e2e/crm-regression.spec.ts;apps/web/e2e/crm-uiux.spec.ts;apps/web/e2e/opportunity-stage-transition.spec.ts,
/crm/pipeline,Pipeline,AVAILABLE,yes,apps/web/e2e/accessibility.spec.ts;apps/web/e2e/crm-regression.spec.ts,
/crm/forecast,Forecast,AVAILABLE,yes,,
/crm/tasks,Tasks,AVAILABLE,yes,apps/web/e2e/_ui-audit2.spec.ts,
/crm/calls,Calls,AVAILABLE,yes,apps/web/e2e/crm-uiux.spec.ts;apps/web/e2e/_ui-audit2.spec.ts,
/crm/meetings,Meetings,AVAILABLE,yes,apps/web/e2e/crm-uiux.spec.ts;apps/web/e2e/_ui-audit2.spec.ts,
/crm/follow-ups,Follow-ups,AVAILABLE,yes,apps/web/e2e/crm-uiux.spec.ts;apps/web/e2e/_ui-audit2.spec.ts,
/crm/communications,Communications,AVAILABLE,yes,,
/crm/dashboard,Dashboard,AVAILABLE,yes,apps/web/e2e/accessibility.spec.ts;apps/web/e2e/_ui-audit2.spec.ts,
/crm/reports,Reports,AVAILABLE,yes,,
/crm/data/import-export,Imports & Exports,AVAILABLE,yes,,
/crm/data/duplicates,Duplicate Management,AVAILABLE,yes,,
/crm/settings/territories,Territories & Sales Teams,AVAILABLE,yes,apps/web/e2e/_ui-audit2.spec.ts,
/crm/settings/custom-fields-and-tags,Custom Fields & Tags,AVAILABLE,yes,,
/crm/settings/record-fields,Custom Record Fields,AVAILABLE,yes,,
/crm/settings/lead-sources,Lead Sources,AVAILABLE,yes,,
/crm/settings/assignment,Assignment Rules,AVAILABLE,yes,,
/crm/settings/lead-lifecycle,Lead Lifecycle Stages,AVAILABLE,yes,,
/crm/settings/lead-scoring,Lead Scoring,AVAILABLE,yes,,
/crm/settings/pipeline-stages,Pipeline Stages,AVAILABLE,yes,,
/crm/settings/lost-reasons,Won / Lost Reasons,AVAILABLE,yes,,
/crm/settings/playbooks,Qualification / Playbooks,AVAILABLE,yes,,
/crm/settings/meeting-links,Meeting Links,AVAILABLE,yes,,
/crm/settings/privacy,Privacy Administration,AVAILABLE,yes,,
/sales,Home,AVAILABLE,yes,apps/web/e2e/accounting-journal.spec.ts;apps/web/e2e/assets-lifecycle.spec.ts;apps/web/e2e/billing-plans.spec.ts;apps/web/e2e/hr-payroll.spec.ts;apps/web/e2e/hr-performance.spec.ts;apps/web/e2e/hr-recruitment.spec.ts;apps/web/e2e/hr-time-leave.spec.ts;apps/web/e2e/hr-workforce.spec.ts;apps/web/e2e/inventory-counts.spec.ts;apps/web/e2e/inventory-foundation.spec.ts;apps/web/e2e/inventory-outbound.spec.ts;apps/web/e2e/inventory-valuation.spec.ts;apps/web/e2e/manufacturing-engineering.spec.ts;apps/web/e2e/manufacturing-execution.spec.ts;apps/web/e2e/manufacturing-insights.spec.ts;apps/web/e2e/manufacturing-planning.spec.ts;apps/web/e2e/manufacturing-process.spec.ts;apps/web/e2e/manufacturing-production.spec.ts;apps/web/e2e/pos-transactions.spec.ts;apps/web/e2e/procurement-planning-analytics.spec.ts;apps/web/e2e/procurement-receiving.spec.ts;apps/web/e2e/procurement-requests.spec.ts;apps/web/e2e/procurement-settings.spec.ts;apps/web/e2e/procurement-sourcing-orders.spec.ts;apps/web/e2e/projects-delivery.spec.ts;apps/web/e2e/sales-customers.spec.ts;apps/web/e2e/sales-deliveries.spec.ts;apps/web/e2e/sales-insights.spec.ts;apps/web/e2e/sales-orders.spec.ts;apps/web/e2e/sales-quotations.spec.ts;apps/web/e2e/sales-registers.spec.ts;apps/web/e2e/sales-settings.spec.ts,
/sales/settings,Settings,AVAILABLE,yes,apps/web/e2e/sales-settings.spec.ts,
/sales/customers,Customers,AVAILABLE,yes,apps/web/e2e/sales-customers.spec.ts,
/sales/products,Products,AVAILABLE,yes,apps/web/e2e/sales-customers.spec.ts,
